iter	Passed	Remaining
400	32259	128637
401	32369	128673
402	32488	128744
403	32588	128740
404	32672	128672
405	32768	128651
406	32894	128748
407	32995	128748
408	33007	128398
409	33096	128350
410	33196	128344
411	33301	128356
412	33410	128382
413	33512	128383
414	33614	128382
415	33640	128091
416	33722	128017
417	33826	128024
418	33841	127694
419	33932	127652
420	34034	127650
421	34140	127662
422	34257	127716
423	34349	127677
424	34453	127681
425	34553	127669
426	34655	127665
427	34745	127615
428	34752	127262
429	34859	127276
430	34961	127272
431	35053	127231
432	35160	127241
433	35265	127248
434	35377	127276
435	35475	127254
436	35576	127244
437	35665	127190
438	35771	127195
439	35883	127222
440	35988	127225
441	36073	127154
442	36158	127083
443	36185	126812
444	36271	126745
445	36278	126403
446	36288	126075
447	36376	126020
448	36467	125970
449	36561	125932
450	36650	125880
451	36668	125581
452	36778	125598
453	36871	125558
454	37018	125700
455	37029	125379
456	37136	125386
457	37267	125471
458	37372	125469
459	37465	125427
460	37556	125377
461	37649	125336
462	37761	125353
463	37864	125342
464	37879	125043
465	37983	125034
466	38086	125025
467	38175	124968
468	38261	124899
469	38376	124926
470	38475	124903
471	38491	124608
472	38597	124606
473	38765	124802
474	38882	124832
475	38984	124814
476	39101	124845
477	39192	124794
478	39273	124706
479	39361	124643
480	39477	124670
481	39569	124618
482	39657	124555
483	39748	124500
484	39840	124449
485	39892	124273
486	39995	124256
487	40081	124186
488	40169	124122
489	40265	124082
490	40362	124045
491	40454	123994
492	40545	123939
493	40634	123877
494	40732	123843
495	40822	123783
496	40933	123788
497	41015	123704
498	41100	123630
499	41191	123573
500	41284	123524
501	41393	123520
502	41483	123460
503	41580	123421
504	41693	123430
505	41780	123360
506	41864	123281
507	41951	123211
508	42053	123185
509	42155	123161
510	42280	123201
511	42367	123129
512	42456	123065
513	42557	123036
514	42653	122989
515	42733	122900
516	42822	122836
517	42903	122747
518	43014	122743
519	43100	122671
520	43204	122646
521	43297	122593
522	43380	122510
523	43474	122457
524	43558	122379
525	43679	122401
526	43767	122333
527	43862	122283
528	43951	122216
529	44042	122155
530	44178	122218
531	44282	122192
532	44392	122183
533	44491	122142
534	44589	122099
535	44700	122092
536	44812	122087
537	44913	122051
538	45002	121982
539	45129	122016
540	45240	122007
541	45352	121998
542	45446	121943
543	45541	121889
544	45632	121826
545	45725	121766
546	45837	121757
547	45933	121705
548	46034	121669
549	46142	121648
550	46257	121647
551	46356	121602
552	46453	121552
553	46559	121524
554	46655	121471
555	46797	121538
556	46900	121504
557	46991	121438
558	47101	121418
559	47198	121367
560	47281	121280
561	47364	121191
562	47459	121135
563	47563	121100
564	47671	121078
565	47767	121022
566	47884	121021
567	47973	120947
568	48062	120874
569	48163	120830
570	48263	120785
571	48352	120713
572	48434	120621
573	48525	120552
574	48613	120477
575	48709	120419
576	48794	120336
577	48884	120265
578	48981	120210
579	49063	120120
580	49157	120059
581	49267	120035
582	49355	119960
583	49442	119880
584	49533	119811
585	49628	119751
586	49721	119688
587	49827	119653
588	49945	119649
589	50050	119613
590	50138	119535
591	50261	119540
592	50371	119515
593	50458	119434
594	50549	119364
595	50633	119278
596	50741	119246
597	50858	119237
598	50976	119229
599	51071	119167
600	51163	119097
601	51262	119045
602	51351	118968
603	51448	118910
604	51565	118898
605	51650	118813
606	51744	118748
607	51836	118678
608	51922	118594
609	52039	118582
610	52125	118498
611	52220	118434
612	52314	118369
613	52397	118278
614	52490	118211
615	52583	118143
616	52688	118101
617	52771	118010
618	52891	118002
619	53007	117983
620	53120	117960
621	53202	117866
622	53312	117835
623	53398	117750
624	53499	117698
625	53585	117615
626	53693	117577
627	53795	117526
628	53876	117431
629	53933	117284
630	54028	117219
631	54114	117134
632	54222	117096
633	54321	117040
634	54460	117067
635	54546	116982
636	54660	116957
637	54762	116907
638	54854	116833
639	54948	116765
640	55033	116677
641	55149	116656
642	55241	116582
643	55351	116547
644	55462	116513
645	55564	116462
